config	logLike	logLike_avg	delta_logLike	delta_logLike_avg	size
srp_4_192	-147959.92180770502	-0.17572228573022294	161.69445043531596	0.0001920338837250341	2074752
srp_2_768	-148078.25381018873	-0.1758628208812113	43.36244795160019	5.149873273666606e-05	14177280
srp_4_384	-148082.4275864661	-0.17586777780129226	39.188671674230136	4.6541812655704964e-05	7688448
srp_8_192	-148070.8081885863	-0.1758539782052307	50.80806955404114	6.0341408717284996e-05	3854208
srp_24_192	-148085.2943160674	-0.17587118242784217	36.321942072943784	4.313718610579896e-05	10972032
srp_1_1536	-148083.28175526534	-0.17586879224149993	38.334502874989994	4.55273724480588e-05	30693888
srp_16_192	-148116.17206293863	-0.17590785390071215	5.444195201707771	6.465713235837782e-06	7413120
srp_2_1536	-148085.25130364252	-0.1758711313448089	36.364954497810686	4.318826913909655e-05	59025408
srp_2_192	-147870.12423022976	-0.17561563904256453	251.49202791057178	0.00029868057138344176	1185024
srp_1_384	-148073.85631765658	-0.17585759826802125	47.75994048375287	5.6721345926714494e-05	2365056
srp_4_768	-148081.9790992991	-0.1758672451625267	39.637158841243945	4.7074451421294216e-05	28353024
srp_24_1536	-148085.6435214277	-0.1758715971561237	35.97273671263247	4.272245782429243e-05	682318848
srp_16_1536	-148082.95214630468	-0.17586840078657578	38.66411183564924	4.591882737217995e-05	455666688
srp_1_192	-147947.52741755862	-0.1757075657267237	174.08884058170952	0.0002067538872242723	740160
srp_2_384	-148066.16608972568	-0.17584846508916246	55.45016841465258	6.58545247855163e-05	4139520
srp_1_768	-148077.38265245964	-0.17586178626436696	44.2336056806962	5.253334958099809e-05	7089408
srp_4_1536	-148085.46063260594	-0.17587137995107652	36.1556255343894	4.2939662871449744e-05	115688448
srp_8_1536	-148084.17067789249	-0.17586984795654742	37.44558024784783	4.447165740056273e-05	229014528
