config	seed	checkpoint	blimp_task	accuracy	hidden_size	layers	config_short	num_params
layers_1_hs_192_heads_12_cl_256	0	5	anaphor_agreement	0.939161554192229	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	argument_structure	0.7001697381183317	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	binding	0.6677055506084891	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	control_raising	0.6551038444542643	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	determiner_noun_agreement	0.8550782285865818	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	ellipsis	0.5866050808314087	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	filler_gap	0.6279178338001867	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	irregular_forms	0.8977099236641222	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	island_effects	0.5213004484304933	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	npi_licensing	0.5174612815062253	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	quantifiers	0.7004121586810922	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	subject_verb_agreement	0.6149954832881662	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	hypernym	0.5011627906976744	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	qa_congruence_easy	0.421875	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	qa_congruence_tricky	0.296969696969697	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	subject_aux_inversion	0.8504513295925835	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	turn_taking	0.575	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	anaphor_agreement	0.9550102249488752	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	argument_structure	0.6953200775945684	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	binding	0.6717126743840902	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	control_raising	0.6281484754750332	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	determiner_noun_agreement	0.8538849111641474	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	ellipsis	0.5508083140877598	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	filler_gap	0.6587301587301587	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	irregular_forms	0.8717557251908397	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	island_effects	0.5575485799701047	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	npi_licensing	0.5438809596112967	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	quantifiers	0.7158681092220505	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	subject_verb_agreement	0.6166214995483288	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	hypernym	0.5104651162790698	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	qa_congruence_easy	0.515625	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	qa_congruence_tricky	0.28484848484848485	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	subject_aux_inversion	0.8065381800439132	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	turn_taking	0.6392857142857142	192	1	1*192	740160
layers_1_hs_384_heads_12_cl_256	13	5	anaphor_agreement	0.9637014314928425	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	argument_structure	0.7055043646944714	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	binding	0.6733452062926685	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	control_raising	0.6546619531595228	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	determiner_noun_agreement	0.8605144523998939	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	ellipsis	0.6085450346420324	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	filler_gap	0.6562402738873327	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	irregular_forms	0.8885496183206106	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	island_effects	0.5605381165919282	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	npi_licensing	0.5170057698147585	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	quantifiers	0.6968057702215353	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	subject_verb_agreement	0.6428184281842818	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	hypernym	0.48604651162790696	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	qa_congruence_easy	0.515625	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	qa_congruence_tricky	0.3696969696969697	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	subject_aux_inversion	0.806050256160039	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	turn_taking	0.6107142857142858	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	anaphor_agreement	0.9519427402862985	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	argument_structure	0.7080504364694471	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	binding	0.6758682101513802	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	control_raising	0.6679186920017676	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	determiner_noun_agreement	0.8431450543622381	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	ellipsis	0.624133949191686	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	filler_gap	0.642390289449113	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	irregular_forms	0.9129770992366413	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	island_effects	0.5452167414050823	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	npi_licensing	0.5200425144245369	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	quantifiers	0.729005667181865	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	subject_verb_agreement	0.6390243902439025	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	hypernym	0.5069767441860465	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	qa_congruence_easy	0.578125	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	qa_congruence_tricky	0.34545454545454546	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	subject_aux_inversion	0.8126372285923396	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	turn_taking	0.5928571428571429	384	1	1*384	2365056
layers_1_hs_768_heads_12_cl_256	0	5	anaphor_agreement	0.9519427402862985	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	argument_structure	0.7206595538312318	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	binding	0.6685960225586227	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	control_raising	0.6648254529385771	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	determiner_noun_agreement	0.8703261734287987	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	ellipsis	0.6316397228637414	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	filler_gap	0.6518829754123872	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	irregular_forms	0.9022900763358779	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	island_effects	0.5848281016442451	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	npi_licensing	0.5174612815062253	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	quantifiers	0.7238536836682122	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	subject_verb_agreement	0.6504065040650406	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	hypernym	0.4941860465116279	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	qa_congruence_easy	0.515625	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	qa_congruence_tricky	0.42424242424242425	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	subject_aux_inversion	0.8238594779214442	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	turn_taking	0.6321428571428571	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	anaphor_agreement	0.9304703476482618	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	argument_structure	0.7278128031037827	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	binding	0.6834372217275155	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	control_raising	0.6913389306230667	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	determiner_noun_agreement	0.8778838504375497	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	ellipsis	0.6247113163972287	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	filler_gap	0.642390289449113	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	irregular_forms	0.8844783715012723	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	island_effects	0.5426008968609866	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	npi_licensing	0.5133616762830246	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	quantifiers	0.7586295723853683	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	subject_verb_agreement	0.6538392050587173	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	hypernym	0.48604651162790696	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	qa_congruence_easy	0.53125	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	qa_congruence_tricky	0.2787878787878788	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	subject_aux_inversion	0.8392290802634789	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	turn_taking	0.6642857142857143	768	1	1*768	7089408
layers_1_hs_1536_heads_12_cl_256	0	5	anaphor_agreement	0.9504089979550102	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	argument_structure	0.7199321047526673	1536	1	1*1536	30693888
