config	seed	checkpoint	glue_task	accuracy	hidden_size	layers	config_short	num_params
layers_1_hs_192_heads_12_cl_256	0	5	boolq	0.589211642742157	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	cola	0.6938174962997437	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	mnli	0.5527278184890747	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	mnli-mm	0.5576066374778748	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	mrpc	0.694915235042572	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	multirc	0.49835705757141113	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	qnli	0.5975503325462341	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	qqp	0.755178689956665	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	rte	0.4747474789619446	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	sst2	0.8248031735420227	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	wsc	0.4819277226924896	192	1	1*192	740160
layers_1_hs_384_heads_12_cl_256	0	5	boolq	0.5961272716522217	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	cola	0.6957801580429077	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	mnli	0.5586711168289185	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	mnli-mm	0.5712921619415283	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	mrpc	0.694915235042572	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	multirc	0.5180723071098328	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	qnli	0.611985981464386	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	qqp	0.7576332092285156	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	rte	0.5656565427780151	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	sst2	0.8287401795387268	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	wsc	0.5180723071098328	384	1	1*384	2365056
layers_1_hs_768_heads_12_cl_256	0	5	boolq	0.5919778943061829	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	cola	0.6938174962997437	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	mnli	0.5772630572319031	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	mnli-mm	0.5663589835166931	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	mrpc	0.694915235042572	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	multirc	0.5136911273002625	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	qnli	0.6045494079589844	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	qqp	0.7690877318382263	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	rte	0.6060606241226196	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	sst2	0.8464567065238953	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	wsc	0.5421686768531799	768	1	1*768	7089408
layers_1_hs_1536_heads_12_cl_256	0	5	boolq	0.6002766489982605	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	cola	0.6957801580429077	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	mnli	0.5310880541801453	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	mnli-mm	0.5367600321769714	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	mrpc	0.694915235042572	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	multirc	0.49616649746894836	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	qnli	0.6010498404502869	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	qqp	0.7364721894264221	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	rte	0.5050504803657532	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	sst2	0.8287401795387268	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	wsc	0.4939759075641632	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	boolq	0.5961272716522217	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	cola	0.6947988271713257	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	mnli	0.5344406962394714	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	mnli-mm	0.5450350046157837	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	mrpc	0.694915235042572	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	multirc	0.5158817172050476	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	qnli	0.6032370924949646	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	qqp	0.734203577041626	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	rte	0.6060606241226196	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	sst2	0.8464567065238953	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	wsc	0.5662650465965271	1536	1	1*1536	30693888
layers_2_hs_192_heads_12_cl_256	13	5	boolq	0.5767635107040405	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	cola	0.6938174962997437	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	mnli	0.5073148608207703	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	mnli-mm	0.5286442041397095	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	mrpc	0.694915235042572	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	multirc	0.4950712025165558	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	qnli	0.6014873385429382	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	qqp	0.7150507569313049	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	rte	0.5050504803657532	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	sst2	0.8444882035255432	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	wsc	0.46987950801849365	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	boolq	0.5836791396141052	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	cola	0.6947988271713257	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	mnli	0.5249924063682556	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	mnli-mm	0.5291215777397156	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	mrpc	0.694915235042572	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	multirc	0.514786422252655	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	qnli	0.6014873385429382	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	qqp	0.7131540775299072	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	rte	0.5454545617103577	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	sst2	0.8503937125205994	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	wsc	0.5662650465965271	192	2	2*192	1185024
layers_2_hs_384_heads_12_cl_256	13	5	boolq	0.5988935232162476	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	cola	0.6947988271713257	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	mnli	0.539774477481842	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	mnli-mm	0.5445576310157776	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	mrpc	0.694915235042572	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	multirc	0.46440306305885315	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	qnli	0.6001749634742737	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	qqp	0.7214846014976501	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	rte	0.5151515007019043	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	sst2	0.8503937125205994	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	wsc	0.5903614163398743	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	boolq	0.5975103974342346	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	cola	0.6938174962997437	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	mnli	0.5327643752098083	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	mnli-mm	0.54328453540802	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	mrpc	0.694915235042572	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	multirc	0.5180723071098328	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	qnli	0.6102362275123596	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	qqp	0.735244870185852	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	rte	0.4848484992980957	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	sst2	0.8562992215156555	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	wsc	0.5180723071098328	384	2	2*384	4139520
layers_2_hs_768_heads_12_cl_256	13	5	boolq	0.589211642742157	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	cola	0.6947988271713257	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	mnli	0.5428223013877869	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	mnli-mm	0.5521960258483887	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	mrpc	0.694915235042572	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	multirc	0.5169770121574402	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	qnli	0.6076115369796753	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	qqp	0.7383688688278198	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	rte	0.5353535413742065	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	sst2	0.8602362275123596	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	13	5	wsc	0.5421686768531799	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	boolq	0.5809128880500793	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	cola	0.6947988271713257	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	mnli	0.5476988554000854	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	mnli-mm	0.5518777966499329	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	mrpc	0.694915235042572	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	multirc	0.4939759075641632	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	qnli	0.616797924041748	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	qqp	0.7448770999908447	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	rte	0.5656565427780151	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	sst2	0.8622047305107117	768	2	2*768	14177280
layers_2_hs_768_heads_12_cl_256	0	5	wsc	0.5180723071098328	768	2	2*768	14177280
layers_2_hs_1536_heads_12_cl_256	13	5	boolq	0.6016597747802734	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	cola	0.6928361058235168	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	mnli	0.5758914947509766	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	mnli-mm	0.5919796228408813	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	mrpc	0.694915235042572	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	multirc	0.5082146525382996	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	qnli	0.6115485429763794	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	qqp	0.7548068165779114	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	rte	0.4848484992980957	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	sst2	0.8543307185173035	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	13	5	wsc	0.5060241222381592	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	boolq	0.589211642742157	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	cola	0.6938174962997437	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	mnli	0.5659859776496887	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	mnli-mm	0.5709738731384277	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	mrpc	0.694915235042572	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	multirc	0.5410733819007874	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	qnli	0.6237969994544983	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	qqp	0.7508274912834167	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	rte	0.5454545617103577	1536	2	2*1536	59025408
layers_2_hs_1536_heads_12_cl_256	0	5	sst2	0.8661417365074158	1536	2	2*1536	59025408
