config	seed	checkpoint	msgs_task	accuracy	hidden_size	layers	config_short	num_params
layers_1_hs_192_heads_12_cl_256	0	5	main_verb_control	0.6203058362007141	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	control_raising_control	0.814751148223877	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	syntactic_category_control	0.7867087721824646	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	lexical_content_the_control	0.8066483736038208	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	relative_position_control	0.977227509021759	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	main_verb_lexical_content_the	0.6661840081214905	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	main_verb_relative_token_position	0.6630685329437256	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	syntactic_category_lexical_content_the	0.6353198289871216	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	syntactic_category_relative_position	0.6548802852630615	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	control_raising_lexical_content_the	0.6650487780570984	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	0	5	control_raising_relative_token_position	0.6682972311973572	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	main_verb_control	0.6381651163101196	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	control_raising_control	0.8290987610816956	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	syntactic_category_control	0.8445408940315247	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	lexical_content_the_control	0.7688461542129517	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	relative_position_control	0.9352200031280518	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	main_verb_lexical_content_the	0.6686728000640869	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	main_verb_relative_token_position	0.6629449725151062	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	syntactic_category_lexical_content_the	0.7076389193534851	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	syntactic_category_relative_position	0.6677627563476562	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	control_raising_lexical_content_the	0.6647090315818787	192	1	1*192	740160
layers_1_hs_192_heads_12_cl_256	13	5	control_raising_relative_token_position	0.6673188805580139	192	1	1*192	740160
layers_1_hs_384_heads_12_cl_256	13	5	main_verb_control	0.6647095084190369	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	control_raising_control	0.8461366295814514	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	syntactic_category_control	0.8235161304473877	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	lexical_content_the_control	0.7968131899833679	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	relative_position_control	0.9812071919441223	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	main_verb_lexical_content_the	0.6647359728813171	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	main_verb_relative_token_position	0.6622445583343506	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	syntactic_category_lexical_content_the	0.7082387208938599	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	syntactic_category_relative_position	0.6565824747085571	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	control_raising_lexical_content_the	0.6668446063995361	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	13	5	control_raising_relative_token_position	0.6681749820709229	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	main_verb_control	0.6461161971092224	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	control_raising_control	0.8589897155761719	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	syntactic_category_control	0.821374237537384	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	lexical_content_the_control	0.789175808429718	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	relative_position_control	0.9756245613098145	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	main_verb_lexical_content_the	0.6645097136497498	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	main_verb_relative_token_position	0.6605965495109558	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	syntactic_category_lexical_content_the	0.6989846229553223	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	syntactic_category_relative_position	0.6653642058372498	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	control_raising_lexical_content_the	0.6650002598762512	384	1	1*384	2365056
layers_1_hs_384_heads_12_cl_256	0	5	control_raising_relative_token_position	0.6687864065170288	384	1	1*384	2365056
layers_1_hs_768_heads_12_cl_256	0	5	main_verb_control	0.649602472782135	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	control_raising_control	0.8671349287033081	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	syntactic_category_control	0.8302801251411438	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	lexical_content_the_control	0.8218681216239929	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	relative_position_control	0.9351646900177002	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	main_verb_lexical_content_the	0.663966715335846	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	main_verb_relative_token_position	0.6635217666625977	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	syntactic_category_lexical_content_the	0.7450408935546875	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	syntactic_category_relative_position	0.6780920028686523	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	control_raising_lexical_content_the	0.6647090315818787	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	0	5	control_raising_relative_token_position	0.6676450371742249	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	main_verb_control	0.6521100997924805	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	control_raising_control	0.8202809691429138	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	syntactic_category_control	0.8442590832710266	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	lexical_content_the_control	0.7689011096954346	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	relative_position_control	0.9561132192611694	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	main_verb_lexical_content_the	0.6639214158058167	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	main_verb_relative_token_position	0.6641397476196289	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	syntactic_category_lexical_content_the	0.7187352776527405	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	syntactic_category_relative_position	0.6845526099205017	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	control_raising_lexical_content_the	0.6654370427131653	768	1	1*768	7089408
layers_1_hs_768_heads_12_cl_256	13	5	control_raising_relative_token_position	0.6680526733398438	768	1	1*768	7089408
layers_1_hs_1536_heads_12_cl_256	0	5	main_verb_control	0.649357795715332	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	control_raising_control	0.8926916718482971	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	syntactic_category_control	0.7692351341247559	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	lexical_content_the_control	0.7573626637458801	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	relative_position_control	0.9242759346961975	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	main_verb_lexical_content_the	0.6693968176841736	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	main_verb_relative_token_position	0.6667353510856628	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	syntactic_category_lexical_content_the	0.7050683498382568	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	syntactic_category_relative_position	0.6609926819801331	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	control_raising_lexical_content_the	0.6649031639099121	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	0	5	control_raising_relative_token_position	0.6765725016593933	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	main_verb_control	0.6608562469482422	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	control_raising_control	0.8994918465614319	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	syntactic_category_control	0.8115100860595703	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	lexical_content_the_control	0.7576373815536499	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	relative_position_control	0.9178089499473572	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	main_verb_lexical_content_the	0.6655504703521729	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	main_verb_relative_token_position	0.6698665022850037	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	syntactic_category_lexical_content_the	0.7117090225219727	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	syntactic_category_relative_position	0.6570466756820679	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	control_raising_lexical_content_the	0.6647090315818787	1536	1	1*1536	30693888
layers_1_hs_1536_heads_12_cl_256	13	5	control_raising_relative_token_position	0.6758387088775635	1536	1	1*1536	30693888
layers_2_hs_192_heads_12_cl_256	13	5	main_verb_control	0.7221406698226929	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	control_raising_control	0.8648931384086609	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	syntactic_category_control	0.8850684762001038	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	lexical_content_the_control	0.7676923274993896	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	relative_position_control	0.9645147323608398	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	main_verb_lexical_content_the	0.6666365265846252	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	main_verb_relative_token_position	0.6671885251998901	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	syntactic_category_lexical_content_the	0.6875455379486084	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	syntactic_category_relative_position	0.6631978154182434	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	control_raising_lexical_content_the	0.6662136316299438	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	13	5	control_raising_relative_token_position	0.6683787703514099	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	main_verb_control	0.8421406745910645	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	control_raising_control	0.890823483467102	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	syntactic_category_control	0.9140409231185913	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	lexical_content_the_control	0.8251648545265198	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	relative_position_control	0.9778907895088196	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	main_verb_lexical_content_the	0.6653242111206055	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	main_verb_relative_token_position	0.6716381311416626	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	syntactic_category_lexical_content_the	0.7212629914283752	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	syntactic_category_relative_position	0.6383225917816162	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	control_raising_lexical_content_the	0.6681066155433655	192	2	2*192	1185024
layers_2_hs_192_heads_12_cl_256	0	5	control_raising_relative_token_position	0.6677265763282776	192	2	2*192	1185024
layers_2_hs_384_heads_12_cl_256	13	5	main_verb_control	0.9102752208709717	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	control_raising_control	0.9166791439056396	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	syntactic_category_control	0.8634800910949707	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	lexical_content_the_control	0.7579120993614197	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	relative_position_control	0.9736900329589844	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	main_verb_lexical_content_the	0.6646907329559326	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	main_verb_relative_token_position	0.6618737578392029	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	syntactic_category_lexical_content_the	0.6315924525260925	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	syntactic_category_relative_position	0.6594839096069336	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	control_raising_lexical_content_the	0.6654370427131653	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	13	5	control_raising_relative_token_position	0.6679303646087646	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	main_verb_control	0.8812232613563538	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	control_raising_control	0.8971753120422363	384	2	2*384	4139520
layers_2_hs_384_heads_12_cl_256	0	5	syntactic_category_control	0.9016966223716736	384	2	2*384	4139520
